time,soma,dend,iampar,inmdar
0,-19000,-61,-0,-0
1.08293e-05,-18925.5,-61,-0,-0
2.16586e-05,-18862.5,-61,-0,-0
4.10056e-05,-18769.1,-61,-0,-0
6.03526e-05,-18695.5,-61,-0,-0
0.000120612,-18537,-61,-0,-0
0.00018087,-18443.5,-61,-0,-0
0.000241129,-18374.2,-61,-0,-0
0.000301388,-18313,-61,-0,-0
0.000361647,-18254.9,-61,-0,-0
0.00046647,-18159.1,-61,-0,-0
0.000571294,-18070.2,-61,-0,-0
0.000757592,-17926.1,-61,-0,-0
0.000943891,-17795,-61,-0,-0
0.00127243,-17584.2,-61,-0,-0
0.00160097,-17389.3,-61,-0,-0
0.0019295,-17205.2,-61,-0,-0
0.00225804,-17030.4,-61,-0,-0
0.00258658,-16863.9,-61,-0,-0
0.00316274,-16588.2,-61,-0,-0
0.00373889,-16329.1,-61,-0,-0
0.00431505,-16083.5,-61,-0,-0
0.00489121,-15849.2,-61,-0,-0
0.00581971,-15492.7,-61,-0,-0
0.00674822,-15158.3,-61,-0,-0
0.00767672,-14842.7,-61,-0,-0
0.00911859,-14384.9,-61,-0,-0
0.0105605,-13960.8,-61,-0,-0
0.0120023,-13565.7,-61,-0,-0
0.01466,-12901.6,-61,-0,-0
0.0173176,-12307.1,-61,-0,-0
0.0199752,-11770.8,-61,-0,-0
0.0226329,-11283.7,-61,-0,-0
0.0252905,-10838.1,-61,-0,-0
0.0279482,-10428.4,-61,-0,-0
0.0320467,-9856.75,-61,-0,-0
0.0361452,-9347.48,-61,-0,-0
0.0402437,-8890.98,-61,-0,-0
0.0443422,-8479.44,-61,-0,-0
0.0484407,-8106.45,-61,-0,-0
0.0547705,-7594.45,-61,-0,-0
0.0611003,-7147.55,-61,-0,-0
0.0674301,-6754.67,-61,-0,-0
0.0737599,-6407,-61,-0,-0
0.0800897,-6097.4,-61,-0,-0
0.0901015,-5671.57,-61,-0,-0
0.100113,-5309.17,-61,-0,-0
0.110125,-4997.58,-61,-0,-0
0.120137,-4727.18,-61,-0,-0
0.130148,-4490.37,-61,-0,-0
0.14016,-4281.19,-61,-0,-0
0.156659,-3984.7,-61,-0,-0
0.173157,-3735.57,-61,-0,-0
0.189656,-3523.38,-61,-0,-0
0.206155,-3340.44,-61.0001,-0,-0
0.222654,-3180.77,-61.0001,-0,-0
0.239152,-3039.9,-61.0003,-0,-0
0.264949,-2849.47,-61.0006,-0,-0
0.290747,-2687.82,-61.0013,-0,-0
0.316544,-2548.86,-61.0024,-0,-0
0.342341,-2428.01,-61.0042,-0,-0
0.368138,-2321.7,-61.0066,-0,-0
0.393936,-2227.25,-61.0099,-0,-0
0.435011,-2096.49,-61.0172,-0,-0
0.476085,-1985.01,-61.0274,-0,-0
0.51716,-1888.84,-61.0408,-0,-0
0.558235,-1804.92,-61.0576,-0,-0
0.59931,-1730.83,-61.0779,-0,-0
0.640385,-1664.76,-61.1017,-0,-0
0.705145,-1573.63,-61.1463,-0,-0
0.769905,-1495.18,-61.1993,-0,-0
0.834664,-1426.72,-61.2601,-0,-0
0.899424,-1366.19,-61.3281,-0,-0
0.964184,-1312.01,-61.4029,-0,-0
1.02894,-1263.01,-61.4838,-0,-0
1.12882,-1195.59,-61.6194,-0,-0
1.22869,-1136.12,-61.7663,-0,-0
1.32857,-1083.05,-61.9229,-0,-0
1.42844,-1035.21,-62.0877,-0,-0
1.52832,-991.683,-62.2594,-0,-0
1.62819,-951.792,-62.437,-0,-0
1.78913,-893.888,-62.7328,-0,-0
1.95007,-842.553,-63.0376,-0,-0
2.11101,-796.699,-63.3487,-0,-0
2.27195,-755.465,-63.6636,-0,-0
2.43288,-718.15,-63.9804,-0,-0
2.59382,-684.204,-64.2976,-0,-0
2.85328,-635.492,-64.8063,-0,-0
3.11274,-593.019,-65.3082,-0,-0
3.3722,-555.737,-65.8001,-0,-0
3.63166,-522.797,-66.2799,-0,-0
3.89111,-493.508,-66.746,-0,-0
4.15057,-467.32,-67.1972,-0,-0
4.41003,-443.794,-67.633,-0,-0
4.81919,-411.239,-68.2879,-0,-0
5.22834,-383.295,-68.9033,-0,-0
5.6375,-359.124,-69.4798,-0,-0
6.04666,-338.066,-70.0189,-0,-0
6.45581,-319.593,-70.5221,-0,-0
6.86497,-303.289,-70.9912,-0,-0
7.27413,-288.824,-71.428,-0,-0
7.96123,-267.955,-72.0944,-0,-0
8.64833,-250.564,-72.6842,-0,-0
9.33543,-235.954,-73.2059,-0,-0
10,-223.968,-73.6527,-0,-0
10,-223.968,-73.6527,-0,-0
10.0822,-222.623,-73.704,-0,-0
10.1644,-221.304,-73.7545,-0,-0
10.331,-218.695,-73.8549,-0,-0
10.4976,-216.171,-73.9526,-0,-0
10.6643,-213.737,-74.0476,-0,-0
10.9986,-209.113,-74.2299,-0,-0
11.5584,-202.076,-74.512,-0,-0
12.1182,-195.84,-74.7671,-0,-0
12.6779,-190.304,-74.9976,-0,-0
13.6236,-182.302,-75.3376,-0,-0
14.5692,-175.726,-75.6235,-0,-0
15.5149,-170.295,-75.8638,-0,-0
16.4606,-165.783,-76.0661,-0,-0
17.4062,-162.018,-76.2367,-0,-0
18.3519,-158.869,-76.3805,-0,-0
19.2976,-156.23,-76.5019,-0,-0
20.2432,-154.017,-76.6043,-0,-0
21.1889,-152.159,-76.6907,-0,-0
22.1346,-150.598,-76.7636,-0,-0
23.8147,-148.414,-76.8661,-0,-0
25.4949,-146.806,-76.9419,-0,-0
27.1751,-145.615,-76.9982,-0,-0
28.8552,-144.732,-77.0401,-0,-0
31.6578,-143.73,-77.0877,-0,-0
34.4603,-143.116,-77.1169,-0,-0
37.2629,-142.75,-77.1344,-0,-0
40.0654,-142.538,-77.1446,-0,-0
42.868,-142.414,-77.1506,-0,-0
45.6705,-142.34,-77.1541,-0,-0
50.2796,-142.269,-77.1575,-0,-0
54.8886,-142.232,-77.1593,-0,-0
59.4977,-142.22,-77.1599,-0,-0
64.1068,-142.22,-77.1599,-0,-0
68.7158,-142.223,-77.1597,-0,-0
78.7158,-142.231,-77.1594,-0,-0
88.7158,-142.231,-77.1594,-0,-0
98.7158,-142.227,-77.1595,-0,-0
108.716,-142.225,-77.1597,-0,-0
118.716,-142.224,-77.1597,-0,-0
128.716,-142.224,-77.1597,-0,-0
138.716,-142.225,-77.1597,-0,-0
148.716,-142.225,-77.1597,-0,-0
158.716,-142.225,-77.1597,-0,-0
168.716,-142.225,-77.1597,-0,-0
178.716,-142.225,-77.1597,-0,-0
188.716,-142.225,-77.1597,-0,-0
198.716,-142.225,-77.1597,-0,-0
208.716,-142.225,-77.1597,-0,-0
218.716,-142.225,-77.1597,-0,-0
228.716,-142.225,-77.1597,-0,-0
238.716,-142.225,-77.1597,-0,-0
248.716,-142.225,-77.1597,-0,-0
258.716,-142.225,-77.1597,-0,-0
268.716,-142.225,-77.1597,-0,-0
278.716,-142.225,-77.1597,-0,-0
288.716,-142.225,-77.1597,-0,-0
298.716,-142.225,-77.1597,-0,-0
308.716,-142.225,-77.1597,-0,-0
318.716,-142.225,-77.1597,-0,-0
328.716,-142.225,-77.1597,-0,-0
338.716,-142.225,-77.1597,-0,-0
348.716,-142.225,-77.1597,-0,-0
358.716,-142.225,-77.1597,-0,-0
368.716,-142.225,-77.1597,-0,-0
378.716,-142.225,-77.1597,-0,-0
388.716,-142.225,-77.1597,-0,-0
398.716,-142.225,-77.1597,-0,-0
408.716,-142.225,-77.1597,-0,-0
418.716,-142.225,-77.1597,-0,-0
428.716,-142.225,-77.1597,-0,-0
438.716,-142.225,-77.1597,-0,-0
448.716,-142.225,-77.1597,-0,-0
458.716,-142.225,-77.1597,-0,-0
468.716,-142.225,-77.1597,-0,-0
478.716,-142.225,-77.1597,-0,-0
488.716,-142.225,-77.1597,-0,-0
498.716,-142.225,-77.1597,-0,-0
508.716,-142.225,-77.1597,-0,-0
518.716,-142.225,-77.1597,-0,-0
528.716,-142.225,-77.1597,-0,-0
538.716,-142.225,-77.1597,-0,-0
548.716,-142.225,-77.1597,-0,-0
558.716,-142.225,-77.1597,-0,-0
568.716,-142.225,-77.1597,-0,-0
578.716,-142.225,-77.1597,-0,-0
588.716,-142.225,-77.1597,-0,-0
598.716,-142.225,-77.1597,-0,-0
608.716,-142.225,-77.1597,-0,-0
618.716,-142.225,-77.1597,-0,-0
628.716,-142.225,-77.1597,-0,-0
638.716,-142.225,-77.1597,-0,-0
648.716,-142.225,-77.1597,-0,-0
658.716,-142.225,-77.1597,-0,-0
668.716,-142.225,-77.1597,-0,-0
678.716,-142.225,-77.1597,-0,-0
688.716,-142.225,-77.1597,-0,-0
698.716,-142.225,-77.1597,-0,-0
708.716,-142.225,-77.1597,-0,-0
718.716,-142.225,-77.1597,-0,-0
728.716,-142.225,-77.1597,-0,-0
738.716,-142.225,-77.1597,-0,-0
748.716,-142.225,-77.1597,-0,-0
758.716,-142.225,-77.1597,-0,-0
768.716,-142.225,-77.1597,-0,-0
778.716,-142.225,-77.1597,-0,-0
788.716,-142.225,-77.1597,-0,-0
798.716,-142.225,-77.1597,-0,-0
808.716,-142.225,-77.1597,-0,-0
818.716,-142.225,-77.1597,-0,-0
828.716,-142.225,-77.1597,-0,-0
838.716,-142.225,-77.1597,-0,-0
848.716,-142.225,-77.1597,-0,-0
858.716,-142.225,-77.1597,-0,-0
868.716,-142.225,-77.1597,-0,-0
878.716,-142.225,-77.1597,-0,-0
888.716,-142.225,-77.1597,-0,-0
898.716,-142.225,-77.1597,-0,-0
908.716,-142.225,-77.1597,-0,-0
918.716,-142.225,-77.1597,-0,-0
928.716,-142.225,-77.1597,-0,-0
938.716,-142.225,-77.1597,-0,-0
948.716,-142.225,-77.1597,-0,-0
958.716,-142.225,-77.1597,-0,-0
968.716,-142.225,-77.1597,-0,-0
978.716,-142.225,-77.1597,-0,-0
988.716,-142.225,-77.1597,-0,-0
998.716,-142.225,-77.1597,-0,-0
1008.72,-142.225,-77.1597,-0,-0
1018.72,-142.225,-77.1597,-0,-0
1028.72,-142.225,-77.1597,-0,-0
1038.72,-142.225,-77.1597,-0,-0
1048.72,-142.225,-77.1597,-0,-0
1058.72,-142.225,-77.1597,-0,-0
1068.72,-142.225,-77.1597,-0,-0
1078.72,-142.225,-77.1597,-0,-0
1088.72,-142.225,-77.1597,-0,-0
1098.72,-142.225,-77.1597,-0,-0
1108.72,-142.225,-77.1597,-0,-0
1118.72,-142.225,-77.1597,-0,-0
1128.72,-142.225,-77.1597,-0,-0
1138.72,-142.225,-77.1597,-0,-0
1148.72,-142.225,-77.1597,-0,-0
1158.72,-142.225,-77.1597,-0,-0
1168.72,-142.225,-77.1597,-0,-0
1178.72,-142.225,-77.1597,-0,-0
1188.72,-142.225,-77.1597,-0,-0
1198.72,-142.225,-77.1597,-0,-0
1208.72,-142.225,-77.1597,-0,-0
1218.72,-142.225,-77.1597,-0,-0
1228.72,-142.225,-77.1597,-0,-0
1238.72,-142.225,-77.1597,-0,-0
1248.72,-142.225,-77.1597,-0,-0
1258.72,-142.225,-77.1597,-0,-0
1268.72,-142.225,-77.1597,-0,-0
1278.72,-142.225,-77.1597,-0,-0
1288.72,-142.225,-77.1597,-0,-0
1298.72,-142.225,-77.1597,-0,-0
1308.72,-142.225,-77.1597,-0,-0
1318.72,-142.225,-77.1597,-0,-0
1328.72,-142.225,-77.1597,-0,-0
1338.72,-142.225,-77.1597,-0,-0
1348.72,-142.225,-77.1597,-0,-0
1358.72,-142.225,-77.1597,-0,-0
1368.72,-142.225,-77.1597,-0,-0
1378.72,-142.225,-77.1597,-0,-0
1388.72,-142.225,-77.1597,-0,-0
1398.72,-142.225,-77.1597,-0,-0
1408.72,-142.225,-77.1597,-0,-0
1418.72,-142.225,-77.1597,-0,-0
1428.72,-142.225,-77.1597,-0,-0
1438.72,-142.225,-77.1597,-0,-0
1448.72,-142.225,-77.1597,-0,-0
1458.72,-142.225,-77.1597,-0,-0
1468.72,-142.225,-77.1597,-0,-0
1478.72,-142.225,-77.1597,-0,-0
1488.72,-142.225,-77.1597,-0,-0
1498.72,-142.225,-77.1597,-0,-0
1508.72,-142.225,-77.1597,-0,-0
1518.72,-142.225,-77.1597,-0,-0
1528.72,-142.225,-77.1597,-0,-0
1538.72,-142.225,-77.1597,-0,-0
1548.72,-142.225,-77.1597,-0,-0
1558.72,-142.225,-77.1597,-0,-0
1568.72,-142.225,-77.1597,-0,-0
1578.72,-142.225,-77.1597,-0,-0
1588.72,-142.225,-77.1597,-0,-0
1598.72,-142.225,-77.1597,-0,-0
1608.72,-142.225,-77.1597,-0,-0
1618.72,-142.225,-77.1597,-0,-0
1628.72,-142.225,-77.1597,-0,-0
1638.72,-142.225,-77.1597,-0,-0
1648.72,-142.225,-77.1597,-0,-0
1658.72,-142.225,-77.1597,-0,-0
1668.72,-142.225,-77.1597,-0,-0
1678.72,-142.225,-77.1597,-0,-0
1688.72,-142.225,-77.1597,-0,-0
1698.72,-142.225,-77.1597,-0,-0
1708.72,-142.225,-77.1597,-0,-0
1718.72,-142.225,-77.1597,-0,-0
1728.72,-142.225,-77.1597,-0,-0
1738.72,-142.225,-77.1597,-0,-0
1748.72,-142.225,-77.1597,-0,-0
1758.72,-142.225,-77.1597,-0,-0
1768.72,-142.225,-77.1597,-0,-0
1778.72,-142.225,-77.1597,-0,-0
1788.72,-142.225,-77.1597,-0,-0
1798.72,-142.225,-77.1597,-0,-0
1808.72,-142.225,-77.1597,-0,-0
1818.72,-142.225,-77.1597,-0,-0
1828.72,-142.225,-77.1597,-0,-0
1838.72,-142.225,-77.1597,-0,-0
1848.72,-142.225,-77.1597,-0,-0
1858.72,-142.225,-77.1597,-0,-0
1868.72,-142.225,-77.1597,-0,-0
1878.72,-142.225,-77.1597,-0,-0
1888.72,-142.225,-77.1597,-0,-0
1898.72,-142.225,-77.1597,-0,-0
1908.72,-142.225,-77.1597,-0,-0
1918.72,-142.225,-77.1597,-0,-0
1928.72,-142.225,-77.1597,-0,-0
1938.72,-142.225,-77.1597,-0,-0
1948.72,-142.225,-77.1597,-0,-0
1958.72,-142.225,-77.1597,-0,-0
1968.72,-142.225,-77.1597,-0,-0
1978.72,-142.225,-77.1597,-0,-0
1988.72,-142.225,-77.1597,-0,-0
1998.72,-142.225,-77.1597,-0,-0
2000,-142.225,-77.1597,-0,-0
2000,-142.225,-77.1597,-0,-0
2000.05,-142.225,-77.1575,-0,-0.0870847
2000.14,-142.225,-77.1514,-0,-0.233752
2000.22,-142.225,-77.1436,-0,-0.377201
2000.31,-142.225,-77.1347,-0,-0.517501
2000.41,-142.225,-77.1236,-0,-0.677465
2000.51,-142.225,-77.1115,-0,-0.833793
2000.61,-142.226,-77.0987,-0,-0.986251
2000.71,-142.228,-77.0852,-0,-1.13482
2000.81,-142.23,-77.0711,-0,-1.27954
2000.91,-142.232,-77.0565,-0,-1.4205
2001.01,-142.236,-77.0415,-0,-1.55776
2001.11,-142.241,-77.0262,-0,-1.6914
2001.21,-142.246,-77.0105,-0,-1.82148
2001.31,-142.253,-76.9947,-0,-1.9481
2001.41,-142.262,-76.9786,-0,-2.07133
2001.51,-142.271,-76.9624,-0,-2.19124
2001.61,-142.282,-76.946,-0,-2.3079
2001.71,-142.294,-76.9295,-0,-2.42138
2001.81,-142.308,-76.913,-0,-2.53175
2001.91,-142.323,-76.8963,-0,-2.63906
2002.01,-142.339,-76.8797,-0,-2.74339
2002.11,-142.357,-76.863,-0,-2.84479
2002.21,-142.376,-76.8463,-0,-2.94333
2002.31,-142.396,-76.8296,-0,-3.03907
2002.41,-142.417,-76.813,-0,-3.13206
2002.51,-142.44,-76.7964,-0,-3.22237
2002.61,-142.464,-76.7798,-0,-3.31003
2002.71,-142.489,-76.7634,-0,-3.39512
2002.81,-142.516,-76.747,-0,-3.47768
2002.91,-142.543,-76.7307,-0,-3.55777
2003.01,-142.571,-76.7145,-0,-3.63544
2003.11,-142.601,-76.6984,-0,-3.71073
2003.21,-142.631,-76.6824,-0,-3.7837
2003.31,-142.662,-76.6665,-0,-3.8544
2003.41,-142.695,-76.6508,-0,-3.92286
2003.51,-142.728,-76.6353,-0,-3.98915
2003.61,-142.761,-76.6198,-0,-4.05331
2003.71,-142.796,-76.6046,-0,-4.11538
2003.81,-142.831,-76.5895,-0,-4.1754
2003.91,-142.867,-76.5745,-0,-4.23341
2004.01,-142.904,-76.5598,-0,-4.28947
2004.11,-142.941,-76.5452,-0,-4.3436
2004.21,-142.979,-76.5307,-0,-4.39585
2004.31,-143.017,-76.5165,-0,-4.44627
2004.41,-143.056,-76.5024,-0,-4.49488
2004.51,-143.095,-76.4886,-0,-4.54173
2004.61,-143.135,-76.4749,-0,-4.58685
2004.71,-143.175,-76.4614,-0,-4.63028
2004.81,-143.215,-76.4482,-0,-4.67206
2004.91,-143.256,-76.4351,-0,-4.71223
2005.01,-143.297,-76.4222,-0,-4.75081
2005.11,-143.338,-76.4095,-0,-4.78785
2005.21,-143.379,-76.397,-0,-4.82338
2005.31,-143.421,-76.3848,-0,-4.85742
2005.41,-143.462,-76.3727,-0,-4.89002
2005.51,-143.504,-76.3609,-0,-4.9212
2005.61,-143.546,-76.3492,-0,-4.95099
2005.71,-143.588,-76.3378,-0,-4.97943
2005.81,-143.63,-76.3265,-0,-5.00654
2005.91,-143.672,-76.3155,-0,-5.03235
2006.01,-143.713,-76.3047,-0,-5.05689
2006.11,-143.755,-76.2941,-0,-5.0802
2006.21,-143.797,-76.2837,-0,-5.10229
2006.31,-143.838,-76.2735,-0,-5.1232
2006.41,-143.88,-76.2636,-0,-5.14295
2006.51,-143.921,-76.2538,-0,-5.16157
2006.61,-143.963,-76.2443,-0,-5.17909
2006.71,-144.004,-76.2349,-0,-5.19552
2006.81,-144.044,-76.2258,-0,-5.2109
2006.91,-144.085,-76.2168,-0,-5.22524
2007.01,-144.125,-76.2081,-0,-5.23858
2007.11,-144.165,-76.1996,-0,-5.25093
2007.21,-144.205,-76.1913,-0,-5.26233
2007.31,-144.245,-76.1831,-0,-5.27279
2007.41,-144.284,-76.1752,-0,-5.28233
2007.51,-144.323,-76.1675,-0,-5.29097
2007.61,-144.362,-76.16,-0,-5.29874
2007.71,-144.4,-76.1526,-0,-5.30566
2007.81,-144.438,-76.1455,-0,-5.31175
2007.91,-144.475,-76.1386,-0,-5.31702
2008.01,-144.513,-76.1318,-0,-5.3215
2008.11,-144.549,-76.1253,-0,-5.3252
2008.21,-144.586,-76.1189,-0,-5.32815
2008.31,-144.622,-76.1127,-0,-5.33037
2008.41,-144.657,-76.1067,-0,-5.33186
2008.51,-144.693,-76.1009,-0,-5.33266
2008.61,-144.727,-76.0953,-0,-5.33277
2008.71,-144.762,-76.0899,-0,-5.33222
2008.81,-144.796,-76.0846,-0,-5.33101
2008.91,-144.829,-76.0795,-0,-5.32918
2009.01,-144.862,-76.0746,-0,-5.32673
2009.11,-144.895,-76.0699,-0,-5.32368
2009.21,-144.927,-76.0653,-0,-5.32004
2009.31,-144.959,-76.0609,-0,-5.31583
2009.41,-144.99,-76.0567,-0,-5.31107
2009.51,-145.02,-76.0526,-0,-5.30577
2009.61,-145.051,-76.0487,-0,-5.29994
2009.71,-145.08,-76.0449,-0,-5.2936
2009.81,-145.11,-76.0414,-0,-5.28676
2009.91,-145.138,-76.0379,-0,-5.27943
2010.01,-145.167,-76.0347,-0,-5.27164
2010.11,-145.194,-76.0316,-0,-5.26338
2010.21,-145.222,-76.0286,-0,-5.25468
2010.31,-145.248,-76.0258,-0,-5.24555
2010.41,-145.275,-76.0231,-0,-5.236
2010.51,-145.301,-76.0206,-0,-5.22603
2010.61,-145.326,-76.0182,-0,-5.21567
2010.71,-145.351,-76.016,-0,-5.20492
2010.81,-145.375,-76.0139,-0,-5.19379
2010.91,-145.399,-76.0119,-0,-5.1823
2011.01,-145.422,-76.0101,-0,-5.17046
2011.11,-145.445,-76.0084,-0,-5.15828
2011.21,-145.467,-76.0068,-0,-5.14576
2011.31,-145.489,-76.0054,-0,-5.13292
2011.41,-145.511,-76.0041,-0,-5.11976
2011.51,-145.531,-76.0029,-0,-5.10631
2011.61,-145.552,-76.0019,-0,-5.09255
2011.71,-145.572,-76.001,-0,-5.07852
2011.81,-145.591,-76.0002,-0,-5.06421
2011.91,-145.61,-75.9995,-0,-5.04963
2012.01,-145.629,-75.9989,-0,-5.03479
2012.11,-145.647,-75.9984,-0,-5.01971
2012.21,-145.664,-75.9981,-0,-5.00438
2012.31,-145.681,-75.9978,-0,-4.98882
2012.41,-145.698,-75.9977,-0,-4.97304
2012.51,-145.714,-75.9977,-0,-4.95704
2012.61,-145.729,-75.9978,-0,-4.94083
2012.71,-145.744,-75.998,-0,-4.92441
2012.81,-145.759,-75.9982,-0,-4.9078
2012.91,-145.773,-75.9986,-0,-4.89101
2013.01,-145.787,-75.9991,-0,-4.87403
2013.11,-145.801,-75.9997,-0,-4.85688
2013.21,-145.813,-76.0004,-0,-4.83956
2013.31,-145.826,-76.0011,-0,-4.82208
2013.41,-145.838,-76.002,-0,-4.80445
2013.51,-145.85,-76.0029,-0,-4.78667
2013.61,-145.861,-76.004,-0,-4.76874
2013.71,-145.871,-76.0051,-0,-4.75068
2013.81,-145.882,-76.0063,-0,-4.73249
2013.91,-145.892,-76.0076,-0,-4.71418
2014.01,-145.901,-76.0089,-0,-4.69574
2014.11,-145.91,-76.0104,-0,-4.6772
2014.21,-145.919,-76.0119,-0,-4.65854
2014.31,-145.927,-76.0135,-0,-4.63978
2014.41,-145.935,-76.0152,-0,-4.62092
2014.51,-145.942,-76.0169,-0,-4.60197
2014.61,-145.95,-76.0187,-0,-4.58293
2014.71,-145.956,-76.0206,-0,-4.56381
2014.81,-145.963,-76.0226,-0,-4.54461
2014.91,-145.969,-76.0246,-0,-4.52533
2015.01,-145.974,-76.0267,-0,-4.50599
2015.11,-145.979,-76.0288,-0,-4.48657
2015.21,-145.984,-76.031,-0,-4.4671
2015.31,-145.989,-76.0333,-0,-4.44757
2015.41,-145.993,-76.0356,-0,-4.42798
2015.51,-145.997,-76.038,-0,-4.40835
2015.61,-146,-76.0405,-0,-4.38867
2015.71,-146.003,-76.043,-0,-4.36895
2015.81,-146.006,-76.0455,-0,-4.34919
2015.91,-146.008,-76.0481,-0,-4.32939
2016.01,-146.01,-76.0508,-0,-4.30956
2016.11,-146.012,-76.0535,-0,-4.28971
2016.21,-146.014,-76.0563,-0,-4.26983
2016.31,-146.015,-76.0591,-0,-4.24992
2016.41,-146.016,-76.0619,-0,-4.23
2016.51,-146.016,-76.0649,-0,-4.21007
2016.61,-146.016,-76.0678,-0,-4.19012
2016.71,-146.016,-76.0708,-0,-4.17016
2016.81,-146.016,-76.0738,-0,-4.1502
2016.91,-146.015,-76.0769,-0,-4.13023
2017.01,-146.014,-76.08,-0,-4.11025
2017.11,-146.013,-76.0832,-0,-4.09029
2017.21,-146.012,-76.0864,-0,-4.07032
2017.31,-146.01,-76.0896,-0,-4.05036
2017.41,-146.008,-76.0929,-0,-4.03041
2017.51,-146.006,-76.0961,-0,-4.01047
2017.61,-146.003,-76.0995,-0,-3.99054
2017.71,-146,-76.1028,-0,-3.97063
2017.81,-145.997,-76.1062,-0,-3.95073
2017.91,-145.994,-76.1097,-0,-3.93086
2018.01,-145.99,-76.1131,-0,-3.91101
2018.11,-145.987,-76.1166,-0,-3.89118
2018.21,-145.983,-76.1201,-0,-3.87137
2018.31,-145.978,-76.1237,-0,-3.8516
2018.41,-145.974,-76.1272,-0,-3.83185
2018.51,-145.969,-76.1308,-0,-3.81213
2018.61,-145.964,-76.1344,-0,-3.79245
2018.71,-145.959,-76.1381,-0,-3.7728
2018.81,-145.954,-76.1417,-0,-3.75319
2018.91,-145.948,-76.1454,-0,-3.73361
2019.01,-145.943,-76.1491,-0,-3.71408
2019.11,-145.937,-76.1529,-0,-3.69458
2019.21,-145.931,-76.1566,-0,-3.67513
2019.31,-145.924,-76.1604,-0,-3.65572
2019.41,-145.918,-76.1641,-0,-3.63636
2019.51,-145.911,-76.1679,-0,-3.61704
2019.61,-145.904,-76.1718,-0,-3.59777
2019.71,-145.897,-76.1756,-0,-3.57854
2019.81,-145.89,-76.1794,-0,-3.55937
2019.91,-145.883,-76.1833,-0,-3.54025
2020.01,-145.875,-76.1872,-0,-3.52118
2020.11,-145.867,-76.1911,-0,-3.50216
2020.21,-145.859,-76.195,-0,-3.4832
2020.31,-145.851,-76.1989,-0,-3.4643
2020.41,-145.843,-76.2028,-0,-3.44545
2020.51,-145.835,-76.2067,-0,-3.42666
2020.61,-145.826,-76.2107,-0,-3.40792
2020.71,-145.818,-76.2146,-0,-3.38925
2020.81,-145.809,-76.2186,-0,-3.37063
2020.91,-145.8,-76.2225,-0,-3.35208
2021.01,-145.791,-76.2265,-0,-3.33359
2021.11,-145.782,-76.2305,-0,-3.31516
2021.21,-145.773,-76.2345,-0,-3.29679
2021.31,-145.763,-76.2385,-0,-3.27849
2021.41,-145.754,-76.2425,-0,-3.26025
2021.51,-145.744,-76.2465,-0,-3.24207
2021.61,-145.734,-76.2505,-0,-3.22396
2021.71,-145.724,-76.2545,-0,-3.20592
2021.81,-145.714,-76.2585,-0,-3.18795
2021.91,-145.704,-76.2625,-0,-3.17004
2022.01,-145.694,-76.2666,-0,-3.1522
2022.11,-145.684,-76.2706,-0,-3.13443
2022.21,-145.674,-76.2746,-0,-3.11672
2022.31,-145.663,-76.2786,-0,-3.09909
2022.41,-145.652,-76.2826,-0,-3.08153
2022.51,-145.642,-76.2867,-0,-3.06403
2022.61,-145.631,-76.2907,-0,-3.04661
2022.71,-145.62,-76.2947,-0,-3.02926
2022.81,-145.609,-76.2987,-0,-3.01198
2022.91,-145.598,-76.3028,-0,-2.99477
2023.01,-145.587,-76.3068,-0,-2.97763
2023.11,-145.576,-76.3108,-0,-2.96057
2023.21,-145.565,-76.3148,-0,-2.94357
2023.31,-145.553,-76.3188,-0,-2.92666
2023.41,-145.542,-76.3228,-0,-2.90981
2023.51,-145.531,-76.3269,-0,-2.89304
2023.61,-145.519,-76.3309,-0,-2.87634
2023.71,-145.508,-76.3349,-0,-2.85971
2023.81,-145.496,-76.3389,-0,-2.84316
2023.91,-145.484,-76.3428,-0,-2.82668
2024.01,-145.472,-76.3468,-0,-2.81028
2024.11,-145.461,-76.3508,-0,-2.79395
2024.21,-145.449,-76.3548,-0,-2.7777
2024.31,-145.437,-76.3587,-0,-2.76152
2024.41,-145.425,-76.3627,-0,-2.74542
2024.51,-145.413,-76.3667,-0,-2.72939
2024.61,-145.401,-76.3706,-0,-2.71344
2024.71,-145.389,-76.3745,-0,-2.69756
2024.81,-145.377,-76.3785,-0,-2.68175
2024.91,-145.365,-76.3824,-0,-2.66603
2025.01,-145.352,-76.3863,-0,-2.65037
2025.11,-145.34,-76.3902,-0,-2.6348
2025.21,-145.328,-76.3941,-0,-2.61929
2025.31,-145.316,-76.398,-0,-2.60387
2025.41,-145.303,-76.4019,-0,-2.58851
2025.51,-145.291,-76.4058,-0,-2.57324
2025.61,-145.279,-76.4096,-0,-2.55804
2025.71,-145.266,-76.4135,-0,-2.54291
2025.81,-145.254,-76.4173,-0,-2.52786
2025.91,-145.241,-76.4212,-0,-2.51288
2026.01,-145.229,-76.425,-0,-2.49798
2026.11,-145.216,-76.4288,-0,-2.48316
2026.21,-145.204,-76.4326,-0,-2.46841
2026.31,-145.191,-76.4364,-0,-2.45374
2026.41,-145.179,-76.4402,-0,-2.43914
2026.51,-145.166,-76.444,-0,-2.42461
2026.61,-145.154,-76.4478,-0,-2.41016
2026.71,-145.141,-76.4515,-0,-2.39578
2026.81,-145.128,-76.4553,-0,-2.38148
2026.91,-145.116,-76.459,-0,-2.36725
2027.01,-145.103,-76.4627,-0,-2.3531
